question|answer|user_answer
(The Elements of Statistical Learning). W SVM z jądrem gaussowskim, gdy gamma dąży do nieskończoności, klasyfikator SVM zawsze staje się równoważny klasyfikatorowi k-najbliższych sąsiadów z k=1.|False|
W MLP funkcje aktywacji w różnych warstwach mogą być różne.|True|
(Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow). W SVM z jądrem wielomianowym, zwiększanie stopnia wielomianu zawsze prowadzi do zwiększenia liczby wektorów nośnych.|False|
(An Introduction to Statistical Learning). W SVM z jądrem wielomianowym, zwiększanie stopnia wielomianu zawsze prowadzi do zmniejszenia marginesu funkcjonalnego w przestrzeni cech, niezależnie od wartości parametru C.|False|
W MLP funkcja aktywacji tanh jest zawsze lepsza od ReLU.|False|
MLPs cannot be used for tasks involving image data.|False|
In MLP, batch normalization applied after the activation function.|False|
Warstwa wyjściowa MLP zawsze używa funkcji aktywacji ReLU.|False|
(Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow). W SVM z miękkim marginesem, suma wszystkich mnożników Lagrange'a jest zawsze równa parametrowi C pomnożonemu przez liczbę klas.|False|
(The Elements of Statistical Learning). Metoda SMO (Sequential Minimal Optimization) w SVM gwarantuje, że w każdej iteracji dokładnie dwa mnożniki Lagrange'a zmieniają swoje wartości.|True|
(The Elements of Statistical Learning). W SVM z jądrem wielomianowym, zwiększanie stopnia wielomianu zawsze prowadzi do zwiększenia efektywnej liczby wymiarów w przestrzeni cech.|True|
An epoch MLP training consists of one forward and backward pass of all the training samples.|True|
(Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow). W SVM z miękkim marginesem, punkty treningowe z 0 < αi < C zawsze leżą dokładnie na marginesie decyzyjnym i mają zerowe zmienne luzu (slack variables).|False|
The activation function tanh MLP scales outputs to the range [-1, 1].|True|
(An Introduction to Statistical Learning). Increasing the number of trees in a random forest beyond a certain point continues to improve performance significantly.|False|
(An Introduction to Statistical Learning). W SVM z jądrem wielomianowym, liczba wymiarów przestrzeni cech jest zawsze równa liczbie kombinacji z powtórzeniami cech oryginalnych do stopnia wielomianu.|False|
In MLP, the weights are adjusted to minimize the loss function.|True|
MLP cannot be trained using unsupervised learning techniques.|True|
Algorytm Adam jest często używany do trenowania MLP ze względu na swoje zalety w optymalizacji.|True|
(An Introduction to Statistical Learning). W SVM z jądrem wielomianowym, zwiększanie stopnia wielomianu zawsze prowadzi do zwiększenia efektywnej liczby wymiarów w przestrzeni cech, ale nie zawsze do poprawy separacji klas.|True|
(An Introduction to Statistical Learning). W SVM z jądrem wielomianowym stopnia d, liczba cech w przestrzeni transformowanej jest zawsze równa sumie liczby kombinacji bez powtórzeń od 1 do d elementów z p elementów, gdzie p jest liczbą cech w oryginalnej przestrzeni.|True|
Activation functions MLP are applied element-wise to the output of each layer.|True|
"(An Introduction to Statistical Learning). W SVM do klasyfikacji wieloklasowej metodą ""jeden-przeciwko-wszystkim"", każdy punkt treningowy jest używany jako przykład pozytywny dokładnie raz i jako przykład negatywny we wszystkich pozostałych klasyfikatorach binarnych."|True|
"(Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow). W SVM do klasyfikacji wieloklasowej metodą ""jeden-przeciwko-wszystkim"", liczba trenowanych klasyfikatorów jest zawsze równa liczbie klas minus jeden."|False|
(An Introduction to Statistical Learning). Bootstrap samples used in random forests contain about 63.2% of the original training data.|True|
(The Elements of Statistical Learning). W SVM z jądrem liniowym, wektor wag w przestrzeni cech jest zawsze kombinacją liniową wektorów nośnych, nawet gdy używamy regularyzacji L1.|False|
(An Introduction to Statistical Learning). W SVM z jądrem RBF, gdy gamma dąży do zera, a C dąży do zera, model zawsze staje się równoważny klasyfikatorowi stałemu, który przypisuje wszystkim punktom średnią ważoną klas treningowych.|False|
Backpropagation updates the weights MLP by using the chain rule for differentiation.|True|
(An Introduction to Statistical Learning). W SVM z jądrem RBF, gdy gamma dąży do zera, model staje się równoważny klasyfikatorowi stałemu, który zawsze przewiduje klasę większościową.|False|
(The Elements of Statistical Learning: Data Mining, Inference, and Prediction). The performance of a random forest decreases if the individual trees are highly correlated.|True|
(The Elements of Statistical Learning: Data Mining, Inference, and Prediction). In a random forest, the prediction of the ensemble is the mode of the predictions from individual trees in classification tasks.|True|
(Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow). W SVM z miękkim marginesem, suma wszystkich zmiennych luzu (slack variables) jest zawsze równa parametrowi C.|False|
Dropout jest techniką regularizacji stosowaną w MLP, która polega na losowym wyłączaniu neuronów w czasie treningu.|True|
MLP a type of recurrent neural network.|False|
In MLP, each neuron applies a linear transformation followed by a nonlinear activation function to its input.|True|
Algorytm backpropagation używa łańcuchowej reguły różniczkowania do aktualizacji wag w MLP.|True|
(An Introduction to Statistical Learning). The maximum depth of a decision tree is a hyperparameter that can significantly impact model performance.|True|
(The Elements of Statistical Learning: Data Mining, Inference, and Prediction). Random forests improve the stability of predictions by combining multiple trees grown on random subsets of data.|True|
MLP can be considered as a universal approximator.|True|
(Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow). W SVM z miękkim marginesem, punkty treningowe z αi = 0 zawsze leżą po właściwej stronie marginesu i mają zerowe zmienne luzu (slack variables).|True|
A small learning rate can slow down the training of MLP but helps avoiding overshooting the minimum.|True|
(The Elements of Statistical Learning: Data Mining, Inference, and Prediction). Decision trees can model interactions between features naturally.|True|
(An Introduction to Statistical Learning). In random forests, each tree is built using a different subset of features to encourage diversity among the trees.|True|
"(An Introduction to Statistical Learning). W SVM do klasyfikacji wieloklasowej metodą ""jeden-przeciwko-jednemu"", każdy punkt treningowy jest używany jako przykład pozytywny dokładnie w tylu klasyfikatorach binarnych, ile jest pozostałych klas."|True|
(An Introduction to Statistical Learning). Decision trees always produce unique models regardless of the dataset.|False|
(The Elements of Statistical Learning). W SVM z jądrem RBF, gdy gamma dąży do nieskończoności, a C jest stałe, model zawsze staje się równoważny klasyfikatorowi najbliższego sąsiada z odległością cosinusową.|False|
(The Elements of Statistical Learning: Data Mining, Inference, and Prediction). Random forests can handle thousands of input features without feature selection.|True|
(An Introduction to Statistical Learning). Pruning a decision tree can help to prevent overfitting by removing nodes that provide little predictive power.|True|
(Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow). The depth of the trees in a random forest is typically the same for all trees.|False|
MLP są odporne na overfitting bez żadnych dodatkowych technik regularizacji.|False|
(An Introduction to Statistical Learning). Random forests use bootstrap aggregating (bagging) to reduce variance and improve model accuracy.|True|
Waga neuronów w MLP są aktualizowane na podstawie gradientu funkcji strat.|True|
A common issue with MLPs the vanishing gradient problem, particularly with tanh and sigmoid activation functions.|True|
(Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow). In random forests, each tree is built using a unique subset of the features.|True|
(Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow). In decision trees, the best split is determined by evaluating all possible splits for all features.|True|
(An Introduction to Statistical Learning). Random forests can handle large datasets efficiently by parallelizing the construction of trees.|True|
MLP cannot be used for multiclass classification problems.|False|
(The Elements of Statistical Learning: Data Mining, Inference, and Prediction). The accuracy of a random forest model is highly sensitive to the number of trees used in the ensemble.|False|
MLP mogą używać funkcji aktywacji softmax w warstwie wyjściowej dla problemów klasyfikacyjnych.|True|
(An Introduction to Statistical Learning). Warunek KKT (Karush-Kuhn-Tucker) mówiący, że α_i * (y_i(w^T x_i + b) - 1 + ξ_i) = 0, implikuje, że wszystkie wektory nośne leżą dokładnie na marginesie w przypadku miękkiego SVM.|False|
Dropout increases the computational cost during training of MLP.|False|
Learning rate w algorytmie SGD powinien być zawsze stały podczas całego procesu trenowania MLP.|False|
(Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow). W SVM do regresji (SVR), szerokość ε-rury jest zawsze odwrotnie proporcjonalna do parametru C, niezależnie od charakterystyki danych.|False|
(An Introduction to Statistical Learning). W SVM do regresji (SVR), punkty treningowe leżące na granicy ε-rury zawsze mają niezerowe mnożniki Lagrange'a.|True|
(An Introduction to Statistical Learning). A random forest with a single tree is equivalent to a decision tree.|True|
(An Introduction to Statistical Learning). Pruning a decision tree involves removing nodes that lead to a decrease in the cross-validation error.|True|
(The Elements of Statistical Learning: Data Mining, Inference, and Prediction). Overfitting is less of an issue with random forests compared to single decision trees.|True|
The output of the softmax function MLP sums to 1.|True|
(The Elements of Statistical Learning: Data Mining, Inference, and Prediction). Random forests always require an equal number of features for each split.|False|
(Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow). W SVM z jądrem liniowym, zwiększanie parametru C zawsze prowadzi do zwiększenia liczby wektorów nośnych.|False|
(Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow). W SVM z jądrem RBF, zwiększenie parametru gamma zawsze prowadzi do zwiększenia złożoności modelu, niezależnie od wartości parametru C.|False|
(The Elements of Statistical Learning: Data Mining, Inference, and Prediction). Random forests can automatically detect and handle interactions between features.|True|
(The Elements of Statistical Learning: Data Mining, Inference, and Prediction). Random forests are robust to noisy data and outliers.|True|
(The Elements of Statistical Learning: Data Mining, Inference, and Prediction). The depth of trees in a random forest should be limited to avoid overfitting.|False|
MLP może używać funkcji aktywacji softplus w warstwach ukrytych.|True|
(Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow). Random forests use feature bagging to reduce the correlation between trees.|True|
(The Elements of Statistical Learning). Metoda ν-SVM gwarantuje, że parametr ν jest dokładną frakcją punktów treningowych, które staną się wektorami nośnymi, niezależnie od rozkładu danych.|False|
(An Introduction to Statistical Learning). W SVM z jądrem RBF, gdy gamma dąży do nieskończoności, a C dąży do zera, model zawsze staje się równoważny klasyfikatorowi najbliższego sąsiada z głosowaniem ważonym odwrotnością odległości.|False|
(An Introduction to Statistical Learning). In random forests, trees are grown by selecting a random subset of the training data with replacement.|True|
(An Introduction to Statistical Learning). W SVM z jądrem wielomianowym stopnia d, liczba cech w przestrzeni transformowanej jest zawsze równa liczbie kombinacji z powtórzeniami d+p elementów, gdzie p jest liczbą cech w oryginalnej przestrzeni.|True|
Weight sharing a common practice MLPs.|False|
(An Introduction to Statistical Learning). Random forests do not require any tuning of hyperparameters to perform well.|False|
(Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow). W SVM z jądrem wielomianowym, zwiększanie stopnia wielomianu zawsze prowadzi do zmniejszenia błędu treningowego, ale nie zawsze do zmniejszenia błędu testowego.|True|
(The Elements of Statistical Learning: Data Mining, Inference, and Prediction). The trees in a random forest are independent of each other.|True|
Batch normalization helps reducing internal covariate shift MLPs.|True|
Deep learning jest terminem używanym wyłącznie do opisania MLP.|False|
Learning rate decay a technique used to gradually decrease the learning rate during training of MLP.|True|
(An Introduction to Statistical Learning). The splitting criterion in a decision tree can be based on either the Gini index or entropy for classification tasks.|True|
(The Elements of Statistical Learning). Metoda ν-SVM gwarantuje, że liczba wektorów nośnych jest zawsze równa ν razy liczba przykładów treningowych, niezależnie od rozkładu danych.|False|
Dropout powoduje, że w czasie testowania neurony są losowo wyłączane.|False|
ReLU activation function can cause dead neurons MLP.|True|
(The Elements of Statistical Learning). Metoda ν-SVM gwarantuje, że parametr ν jest dolnym ograniczeniem frakcji błędów treningowych i górnym ograniczeniem frakcji wektorów nośnych.|False|
(Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow). W SVM z jądrem liniowym, wektor normalny hiperpłaszczyzny decyzyjnej jest zawsze kombinacją liniową tylko tych wektorów nośnych, które leżą dokładnie na marginesie.|False|
(The Elements of Statistical Learning: Data Mining, Inference, and Prediction). Decision trees split nodes to minimize the total variance in the target variable for regression tasks.|True|
(An Introduction to Statistical Learning). The process of splitting nodes in a decision tree is always deterministic and does not involve any randomness.|False|
(An Introduction to Statistical Learning). W SVM z jądrem wielomianowym stopnia d, liczba cech w przestrzeni transformowanej jest zawsze równa liczbie permutacji z powtórzeniami d elementów z p elementów, gdzie p jest liczbą cech w oryginalnej przestrzeni.|False|
In MLP, the learning rate must always be small to ensure convergence.|False|
Weight decay another term for L2 regularization MLPs.|True|
(An Introduction to Statistical Learning). Decision trees can naturally handle non-linear relationships between features and the target variable.|True|
(An Introduction to Statistical Learning). In decision trees, the entropy criterion is used only for regression tasks.|False|
W MLP, jeżeli funkcja aktywacji ReLU zostanie użyta we wszystkich warstwach, model będzie bardziej narażony na problem eksplodujących gradientów.|False|
(The Elements of Statistical Learning). Metoda SMO (Sequential Minimal Optimization) w SVM gwarantuje, że w każdej iteracji suma iloczynów mnożników Lagrange'a i etykiet klas pozostaje stała.|True|
(The Elements of Statistical Learning). Metoda SMO (Sequential Minimal Optimization) w SVM gwarantuje, że w każdej iteracji co najmniej jeden mnożnik Lagrange'a zmieni swoją wartość.|False|
The output layer of MLP for regression problems typically uses no activation function or a linear activation function.|True|
Wielowarstwowy perceptron (MLP) jest modelem liniowym.|False|
(The Elements of Statistical Learning: Data Mining, Inference, and Prediction). Random forests are prone to underfitting if the trees are not grown deep enough.|False|
(Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow). W SVM do regresji (SVR), szerokość ε-rury jest zawsze odwrotnie proporcjonalna do pierwiastka z parametru C, niezależnie od charakterystyki danych.|False|
(The Elements of Statistical Learning: Data Mining, Inference, and Prediction). Random forests aggregate the predictions of multiple decision trees to improve accuracy and robustness.|True|
(The Elements of Statistical Learning: Data Mining, Inference, and Prediction). Decision trees can be visualized easily, making them interpretable compared to many other machine learning models.|True|
The ReLU activation function MLP can output negative values.|False|
MLP z więcej niż jedną warstwą ukrytą jest nazywany perceptronem.|False|
Algorytm SGD (Stochastic Gradient Descent) jest często używany do optymalizacji MLP.|True|
(The Elements of Statistical Learning). W SVM z jądrem RBF, gdy gamma dąży do zera, a C jest stałe, model zawsze staje się równoważny klasyfikatorowi liniowemu z regularyzacją L2, którego siła regularyzacji zależy od C.|True|
(An Introduction to Statistical Learning). In decision trees, the split that minimizes the chosen impurity measure is selected.|True|
The input to an MLP can be of variable length.|False|
