question|answer|user_answer
(An Introduction to Statistical Learning). In a decision tree, pruning is used to increase the complexity of the tree to avoid overfitting.|False|
(An Introduction to Statistical Learning). Random forests use bootstrap aggregating (bagging) to reduce variance and improve model accuracy.|True|
(An Introduction to Statistical Learning). The Gini impurity is used to measure the purity of a node in a regression tree.|False|
(An Introduction to Statistical Learning). In random forests, the number of features to consider for splitting at each node is a hyperparameter that can be tuned.|True|
(An Introduction to Statistical Learning). Decision trees naturally handle missing data without the need for imputation.|True|
(An Introduction to Statistical Learning). Random forests can only be used for classification tasks, not for regression.|False|
(An Introduction to Statistical Learning). Feature importance in a random forest is typically calculated using the mean decrease in impurity.|True|
(An Introduction to Statistical Learning). A single decision tree model generally has higher variance compared to a random forest model.|True|
(An Introduction to Statistical Learning). In random forests, trees are grown by selecting a random subset of the training data with replacement.|True|
(An Introduction to Statistical Learning). Bagging involves fitting multiple models independently and then averaging their predictions.|True|
(An Introduction to Statistical Learning). The process of splitting nodes in a decision tree is always deterministic and does not involve any randomness.|False|
(An Introduction to Statistical Learning). Pruning a decision tree can help to prevent overfitting by removing nodes that provide little predictive power.|True|
(An Introduction to Statistical Learning). The maximum depth of a decision tree is a hyperparameter that can significantly impact model performance.|True|
(An Introduction to Statistical Learning). Random forests can provide an estimate of the generalization error without needing a separate validation set.|True|
(An Introduction to Statistical Learning). In decision trees, the entropy criterion is used only for regression tasks.|False|
(An Introduction to Statistical Learning). A decision tree's leaf nodes represent the final output of the model.|True|
(An Introduction to Statistical Learning). Random forests use decision trees that are unpruned and of maximum depth.|True|
(An Introduction to Statistical Learning). In random forests, each tree is built using a different subset of features to encourage diversity among the trees.|True|
(An Introduction to Statistical Learning). Decision trees are robust to outliers in the input data.|False|
(An Introduction to Statistical Learning). The splitting criterion in a decision tree can be based on either the Gini index or entropy for classification tasks.|True|
(An Introduction to Statistical Learning). Ensemble methods like random forests typically suffer from high bias.|False|
(An Introduction to Statistical Learning). Bootstrap samples used in random forests contain about 63.2% of the original training data.|True|
