question|answer|user_answer
Wielowarstwowy perceptron (MLP) jest modelem liniowym.|False|
Funkcja aktywacji ReLU może prowadzić do problemu martwych neuronów w MLP.|True|
Warstwa wyjściowa MLP zawsze używa funkcji aktywacji ReLU.|False|
Backpropagation jest algorytmem używanym do trenowania MLP poprzez propagowanie błędu od warstwy wyjściowej do wejściowej.|True|
MLP może efektywnie rozwiązywać problemy nieliniowe dzięki wielowarstwowej strukturze.|True|
Dropout jest techniką regularizacji stosowaną w MLP, która polega na losowym wyłączaniu neuronów w czasie treningu.|True|
Warstwy ukryte w MLP mogą używać funkcji aktywacji sigmoidalnej.|True|
MLP zawsze osiąga optymalne wyniki bez żadnej techniki regularizacji.|False|
W MLP warstwa wejściowa nie przetwarza danych wejściowych, a jedynie przekazuje je do warstwy ukrytej.|True|
Gradient vanishing problem jest bardziej powszechny w MLP z funkcją aktywacji ReLU niż w przypadku funkcji sigmoidalnej.|False|
MLP może być używany do regresji i klasyfikacji.|True|
Funkcja strat dla regresji w MLP to zazwyczaj cross-entropy loss.|False|
Batch normalization może przyspieszyć trening MLP.|True|
Każdy neuron w warstwie ukrytej MLP jest połączony z każdym neuronem w następnej warstwie.|True|
MLP są odporne na overfitting bez żadnych dodatkowych technik regularizacji.|False|
Algorytm SGD (Stochastic Gradient Descent) jest często używany do optymalizacji MLP.|True|
MLP z jedną warstwą ukrytą może modelować dowolną funkcję ciągłą przy odpowiednio dużej liczbie neuronów.|True|
MLP może mieć dowolną liczbę warstw wyjściowych.|False|
W MLP funkcja aktywacji tanh jest zawsze lepsza od ReLU.|False|
Algorytm backpropagation używa łańcuchowej reguły różniczkowania do aktualizacji wag w MLP.|True|
Normalizacja wejść nie jest konieczna przed trenowaniem MLP.|False|
MLP jest specjalnym przypadkiem sieci neuronowej bez wstecznych połączeń.|True|
MLP mogą używać funkcji aktywacji softmax w warstwie wyjściowej dla problemów klasyfikacyjnych.|True|
Deep learning jest terminem używanym wyłącznie do opisania MLP.|False|
Rozkład wag początkowych nie ma wpływu na proces uczenia MLP.|False|
Dropout powoduje, że w czasie testowania neurony są losowo wyłączane.|False|
MLP może używać funkcji aktywacji softplus w warstwach ukrytych.|True|
L2 regularization w MLP polega na dodaniu kwadratu wag do funkcji strat.|True|
Learning rate w algorytmie SGD powinien być zawsze stały podczas całego procesu trenowania MLP.|False|
Momentum jest techniką stosowaną w optymalizacji MLP, która przyspiesza konwergencję.|True|
W MLP każdy neuron w warstwie ukrytej ma ten sam zestaw wag.|False|
Waga neuronów w MLP są aktualizowane na podstawie gradientu funkcji strat.|True|
Backpropagation jest metodą opartą na propagacji sygnału w przód.|False|
MLP z więcej niż jedną warstwą ukrytą jest nazywany perceptronem.|False|
Algorytm Adam jest często używany do trenowania MLP ze względu na swoje zalety w optymalizacji.|True|
Liczba neuronów w warstwie ukrytej MLP powinna być zawsze większa niż liczba neuronów w warstwie wejściowej.|False|
Normalizacja wejść może przyspieszyć konwergencję w MLP.|True|
Funkcja aktywacji w warstwie wyjściowej dla problemów regresyjnych w MLP to zazwyczaj softmax.|False|
MLP jest narażony na problem eksplodujących gradientów.|True|
W MLP, jeżeli funkcja aktywacji ReLU zostanie użyta we wszystkich warstwach, model będzie bardziej narażony na problem eksplodujących gradientów.|False|
Funkcja aktywacji softmax jest używana w MLP do konwersji wyjść do postaci prawdopodobieństw.|True|
W MLP funkcje aktywacji w różnych warstwach mogą być różne.|True|
MLP jest typem sieci neuronowej jednowarstwowej.|False|
Funkcja aktywacji tanh w MLP skaluje wyjście neuronu do zakresu [0, 1].|False|
Dropout może być stosowany tylko w warstwach ukrytych MLP.|False|
Regularization techniques like L1 and L2 are used MLP to reduce overfitting.|True|
Wszystkie neurony w MLP muszą używać tej samej funkcji aktywacji.|False|
Learning rate decay a technique used to gradually decrease the learning rate during training of MLP.|True|
W MLP funkcja aktywacji softplus jest nieliniowa.|True|
Dropout increases the computational cost during training of MLP.|False|
Backpropagation updates the weights MLP by using the chain rule for differentiation.|True|
MLP cannot solve linearly inseparable problems.|False|
Activation functions MLP are applied element-wise to the output of each layer.|True|
In MLP, the hidden layers transform the input data into a higher-dimensional space.|True|
The bias term MLP not updated during backpropagation.|False|
MLP can use dropout regularization the input layer.|True|
A common issue with MLPs the vanishing gradient problem, particularly with tanh and sigmoid activation functions.|True|
